唐诗-七言古诗,陈子昂,《登幽州台歌》,前不见古人，后不见来者。D念天地之悠悠，独怆然而涕下。DDD,【注解】：D1.幽州台：即黄金台，又称蓟北楼，故址在今北京市大兴。燕昭王为招纳天下贤士而建。D2.前：向前看。D3.古人、来者：那些能够礼贤下士的贤明君主。指：燕昭王D4.念：想到。D5.悠悠：形容时间的久远和空间的广大。D6.怆然：悲伤的样子。D7.涕：古时指眼泪，此指流泪。涕下:流眼泪DDD【韵译】：D先代的圣君，我见也没见到，D后代的明主，要等到什么时候？D想到宇宙无限渺远，我深感人生短暂，D独自凭吊，我涕泪纵横凄恻悲愁！D【意译】D回头看看哪有古代贤明君主的踪影，放眼望去也不见一个礼贤下士的君主，我真是生不逢时啊。想到天悠悠而高远、地悠悠而广袤的天地之间，我独自忧伤啊，让人禁不住泪流满面沾湿了衣襟！DDD【评析】：D       诗人具有政治见识和政治才能，他直言敢谏，但没有被武则天所采纳，屡受打击，心情郁郁悲愤。诗写登上幽州的蓟北楼远望，悲从中来，并以“山河依旧，人物不同”来抒发自己“生不逢辰”的哀叹。语言奔放，富有感染力。在艺术表现上，前两句是俯仰古今，写出时间的绵长；第三句登楼眺望，写空间的辽阔无限；第四句写诗人孤单悲苦的心绪。这样前后相互映照，格外动人。句式长短参错，音节前紧后舒，这样抑扬变化，互相配合，大大增强了艺术感染力。
D唐诗-七言古诗,李颀,《古意》,男儿事长征，少小幽燕客。D赌胜马蹄下，由来轻七尺。D杀人莫敢前，须如猬毛磔。D黄云陇底白云飞，未得报恩不能归。D辽东小妇年十五，惯弹琵琶解歌舞。D今为羌笛出塞声，使我三军泪如雨。DD,【注解】：D１、古意：犹“拟古”。D２、轻七尺：犹轻生甘死。D３、解：擅长。DDD【韵译】：D好男儿远去从军戍边，D他们从小就游历幽燕。D个个爱在疆场上逞能，D为取胜不把生命依恋。D厮杀时顽敌不敢上前，D胡须象猬毛直竖满面。D陇山黄云笼罩白云纷飞，D不曾立过战功怎想回归？D有个辽东少妇妙龄十五，D一向善弹琵琶又善歌舞。D她用羌笛吹奏出塞歌曲，D吹得三军将士泪挥如雨。DDD【评析】：D       诗题为“古意”，标明是一首拟古诗。首六句写戍边豪侠的风流潇洒，勇猛刚烈。后六句写见得白云，闻得羌笛，顿觉故乡渺远，不免怀思落泪。离别之情，征战之苦，跃然纸上。语言含蓄顿挫，血脉豁然贯通，跌宕起伏，情韵并茂。
D唐诗-七言古诗,李颀,《送陈章甫》,四月南风大麦黄，枣花未落桐叶长。D青山朝别暮还见，嘶马出门思旧乡。D陈侯立身何坦荡，虬须虎眉仍大颡。D腹中贮书一万卷，不肯低头在草莽。D东门沽酒饮我曹，心轻万事皆鸿毛。D醉卧不知白日暮，有时空望孤云高。D长河浪头连天黑，津口停舟渡不得。D郑国游人未及家，洛阳行子空叹息。D闻道故林相识多，罢官昨日今如何。DD,【注解】：D１、饮：使喝。D２、津口：管渡口的小吏。D３、故林：犹故乡。DDD【韵译】：D四月好风光，南风和暖麦儿黄，D枣子的花还未落，桐叶已长满。D故乡一座座青山，早晚都相见，D马儿出门嘶声叫，催人思故乡。D陈章甫光明磊落，胸怀真荡然，D脑门宽阔虎眉虬须，气派非凡。D胸怀万卷书，满腹经纶有才干，D这等人才，怎能低头埋没草莽。D想起洛阳东门买酒，宴饮我们，D胸怀豁达，万事视如鸿毛一般。D醉了就睡，那管睡到日落天黑，D偶尔仰望，长空孤云游浮飘然。D黄河水涨，风大浪高浪头凶恶，D管渡口的小吏，叫人停止开船。D你这郑国游子，不能及时回家，D我这洛阳客人，徒然为你感叹。D听说你在故乡，至交旧友很多，D昨日你已罢官，如今待你如何？DDD【评析】：D       李颀的送别诗，以善于描写人物著称。此诗的开头四句写送别，轻快舒坦，情怀旷达。中间八句，写陈章甫志节操守，说他光明磊落，清高自重。这八句是诗魂所在（前四句写他的品德、容貌才学和志节；后四名写他形迹脱略，不与世俗同流，借酒隐德，自持清高）。最后六句，用比兴手法暗喻仕途险恶，世态炎凉。然而诗人却不以为芥蒂，泰然处之。笔调轻松，风格豪爽，别具一格。
D唐诗-七言古诗,李颀,《琴歌》,主人有酒欢今夕，请奏鸣琴广陵客。D月照城头乌半飞，霜凄万树风入衣。D铜炉华烛烛增辉，初弹渌水后楚妃。D一声已动物皆静，四座无言星欲稀。D清淮奉使千余里，敢告云山从此始。DD,【注解】：D１、广陵客：这里指善弹琴的人。D２、《渌水》：琴曲名。D３、清淮：地近淮水。DDD【韵译】：D今夜主人有酒，我们暂且欢乐；D敬请弹琴高手，把广陵曲轻弹。D城头月明星稀，乌鹊纷纷飞散；D严霜寒侵树木，冷风吹透外装。D铜炉薰燃檀香，华烛闪烁光辉；D先弹一曲渌水，然后再奏楚妃。D一声琴弦拨出，顿时万籁俱寂。D星星为之隐去，四座沉默陶醉。D奉命出使清淮，离家千里万里；D告归四川云山，是夜萌生此意。DDD【评析】：D       此诗是诗人奉命出使清淮时，在友人饯别宴会上听琴后所作。诗以酒咏琴，以琴醉人；闻琴怀乡，期望归隐。首二句以饮酒陪起弹琴；三、四句写未弹时的夜景：月明星稀，乌鹊半飞，冷风吹衣，万木肃煞。五、六句写初弹情景；铜炉香绕，华烛齐辉，初弹《渌水》，后弹《楚妃》。七、八句写琴歌动人；一声拨出，万籁俱寂，星星隐去，四座无言。后两句写听琴声之后，忽起乡思：客去清淮，离家万里，归隐云山，此夜之思。全诗写时，写景，写琴，写人，步步深入，环环入扣，章法整齐，层次分明。描摹琴声，重于反衬，使琴声越发高妙、更加动人。
D唐诗-七言古诗,李颀,《听董大弹胡笳声兼寄语弄房给事》,蔡女昔造胡笳声，一弹一十有八拍。D胡人落泪沾边草，汉使断肠对归客。D古戍苍苍烽火寒，大荒沈沈飞雪白。D先拂商弦后角羽，四郊秋叶惊摵摵。D董夫子，通神明，深山窃听来妖精。D言迟更速皆应手，将往复旋如有情。D空山百鸟散还合，万里浮云阴且晴。D嘶酸雏雁失群夜，断绝胡儿恋母声。D川为静其波，鸟亦罢其鸣。D乌孙部落家乡远，逻娑沙尘哀怨生。D幽音变调忽飘洒，长风吹林雨堕瓦。D迸泉飒飒飞木末，野鹿呦呦走堂下。D长安城连东掖垣，凤凰池对青琐门。D高才脱略名与利，日夕望君抱琴至。DD,【注解】：D１、蔡女：蔡琰（文姬）。D２、拍：乐曲的段落。D３、商弦、角羽：古以宫商角徵羽为五音。D４、摵摵：叶落声，喻琴声。D５、逻娑：今西藏拉萨市。D６、东掖垣：房任给事中，属门下省。D７、凤凰池：凤池，因接近皇帝之故而得此名。DDD【韵译】：D当年蔡琰曾作胡笳琴曲，D弹奏此曲总共有十八节。D胡人听了泪落沾湿边草，D汉使对着归客肝肠欲绝。D边城苍苍茫茫烽火无烟，D草原阴阴沉沉白雪飘落。D先弹轻快曲后奏低沉调，D四周秋叶受惊瑟瑟凋零。D董先生通神明琴技高妙，D深林鬼神也都出来偷听。D慢揉快拨十分得心应手，D往复回旋仿佛声中寓情。D声如山中百鸟散了又集，D曲似万里浮云暗了又明。D象失群的雏雁夜里嘶叫，D象胡儿恋母痛绝的哭声。D江河听曲而平息了波澜，D百鸟闻声也停止了啼鸣。D仿佛乌孙公主远怀故乡，D宛如文成公主之怨吐蕃。D幽咽琴声忽转轻松潇洒，D象大风吹林如大雨落瓦。D有如迸泉飒飒射向树梢，D有如野鹿呦呦鸣叫堂下。D长安城比邻给事中庭院，D皇宫门正对中书省第宅。D房琯才高不为名利约束，D昼夜盼望董大抱琴来奏。DDD【评析】：D       全诗写董大以琴弹奏《胡笳弄》这一历史名曲，意在描摹琴声，明以赞董大，暗以颂房。全诗巧妙地把董大之演技、琴声，以及历史背景、历史人物的感情结合起来，既周全细致又自然浑成。最后称颂房，也寄托自身的倾慕之情。诗以惊人的想象力，把风云山川，鸟兽迸泉，以及人之悲泣，人为描摹琴声的各种变化，使抽象的琴声变成美妙具体的形象，使读者易于感受。是一首较早描写音乐的好诗。
D唐诗-七言古诗,李颀,《听安万善吹筚篥歌》,南山截竹为篥，此乐本自龟兹出。D流传汉地曲转奇，凉州胡人为我吹。D傍邻闻者多叹息，远客思乡皆泪垂。D世人解听不解赏，长飚风中自来往。D枯桑老柏寒飕遛，九雏鸣凤乱啾啾。D龙吟虎啸一时发，万籁百泉相与秋。D忽然更作渔阳掺，黄云萧条白日暗。D变调如闻杨柳春，上林繁花照眼新。D岁夜高堂列明烛，美酒一杯声一曲。DD,【注解】：D１、龟兹：今新疆库车县。D２、长飚：喻乐声的急骤。D３、渔阳掺：曲调名。DDD【韵译】：D南山截来的竹子做成了篥，D这种乐器本来出自西域龟兹。D它传入中原后曲调更为新奇，D凉州胡人安万善为我们奏吹。D邻近的人听了乐曲人人叹息，D离家游子生起乡思个个垂泪。D世人只晓听声而不懂得欣赏，D它恰如那狂飙旋风独来独往。D象寒风吹摇枯桑老柏沙沙响，D象九只雏凤绕着老母啾啾唤。D象龙吟虎啸一齐迸发的吼声，D象万籁百泉相杂咆哮的秋音。D忽然声调急转变作了渔阳掺，D有如黄云笼罩白日昏昏暗暗。D声调多变仿佛听到了杨柳春，D真象宫苑繁花令人耳目一新。D除夕之夜高堂明烛排排生辉，D美酒一杯哀乐一曲心胸欲碎。DDD【评析】：D       这首诗是写听了胡人乐师安万善吹奏篥，称赞他高超的演技，同时写篥之声凄清，闻者悲凉。前六句先叙篥的来源及其声音的凄凉；中间十句写其声多变，为春为秋，如凤鸣如龙吟。末两句写作者身处异乡，时值除夕，闻此尤感孤寂凄苦。诗在描摹音乐时，不级以鸟兽树木之声作比，同时采用通感手法，以“黄云蔽日，”“繁花照眼”来比喻音乐的阴沉和明快，比前一首更有独到之处。
D唐诗-七言古诗,孟浩然,《夜归鹿门山歌》,山寺钟鸣昼已昏，渔梁渡头争渡喧。D人随沙路向江姑，余亦乘舟归鹿门。D鹿门月照开烟树，忽到庞公栖隐处。D岩扉松径长寂寥，惟有幽人自来去。DD,【注解】：D１、渔梁：在襄阳东、离鹿门很近。D２、庞公：庞德公、东汉隐士。DDD【韵译】：D山寺钟声鸣响，天色已近黄昏，D渔梁渡头，一片争渡的喧哗声。D人们沿着沙岸，向着江村走去，D我也乘着小船，摇橹回到鹿门。D鹿门月光照亮轻烟缭绕的树木，D我忽然来到了庞公隐居的住处。D岩壁当门对着松林长径多寂寥，D只有我这个幽人在此自来自去。DDD【评析】：D       这是歌咏归隐情怀志趣的诗。首两句先写夜归的一路见闻；山寺传来黄昏报钟，渡口喧闹争渡，两相对照，静喧不同。三、四句写世人返家，自去鹿门，殊途异志，表明诗人的怡然自得。五、六句写夜登鹿门山，到得庞德公栖隐处，感受到隐逸之妙处。末两句写隐居鹿门山，心慕先辈。全诗虽歌咏归隐的清闲淡素，但对尘世的热闹仍不能忘情，表达了隐居乃迫于无奈的情怀。感情真挚飘逸，于平淡中见其优美，真实。
D唐诗-七言古诗,李白,《庐山谣寄卢侍御虚舟》,我本楚狂人，凤歌笑孔丘。D手持绿玉杖，朝别黄鹤楼。D五岳寻仙不辞远，一生好入名山游。D庐山秀出南斗傍，屏风九叠云锦张，D影落明湖青黛光，金阙前开二峰长，D银河倒挂三石梁，香炉瀑布遥相望，D回崖沓嶂凌苍苍。D翠影红霞映朝日，鸟飞不到吴天长。D登高壮观天地间，大江茫茫去不还。D黄云万里动风色，白波九道流雪山。D好为庐山谣，兴因庐山发。D闲窥石镜清我心，谢公行处苍苔没。D早服还丹无世情，琴心三叠道初成。D遥见仙人彩云里，手把芙蓉朝玉京。D先期汗漫九垓上，愿接卢敖游太清。DD,【注解】：D１、绿玉杖：神仙所用之杖。D２、南斗：即斗宿星。D３、屏风九叠：形容山峰重叠，状如屏风。D４、青黛：青黑色。D５、九道：古代地志说，长江流到浔阳境内，分为九派。D６、谢公：指刘宋谢灵运。D７、琴心三叠：道家修炼的术语，意思是使心神宁静。D８、玉京：道家说元始天尊在天中心之上，名玉京山。DDD【韵译】：D我原是楚国的狂人，D高唱凤歌讥笑孔丘。D手执神仙的绿玉杖，D早晨我辞别黄鹤楼。D为着寻仙，我遍访五岳不辞遥远，D平生中，我最爱好到名山去遨游。D庐山高耸，与天上的南斗星靠近，D五老峰的九叠屏，好象云霞展开，D山影湖光相映衬，青黑绮丽俊秀。D金阙前香炉峰和双剑峰，高耸对峙，D三石梁的瀑布，恰似银河倒挂飞流。D香炉峰的瀑布，与此遥遥相望，D峻崖环绕，峰峦重叠直至天上。D苍翠的山色映着朝阳，红霞更加绚丽，D在鸟飞不到的峰顶，俯视吴天真宽广。D登上庐山纵览天地，才领略天地壮观，D俯瞰茫茫长江永去不还，流向东方。D万里黄云起伏，两岸的景色不断变幻，D长江九条支流，翻滚着雪山般的白浪。D爱作赞美庐山的歌谣，D诗兴都因庐山所触发。D闲对石镜峰窥看，我更加心清意畅，D谢灵运当年游处，早已被青苔掩藏。D我早就服了还丹，对世俗毫无情念，D心神宁静了，就觉得仙道已经初成。D向远处看去，仙人们正驾驭着彩云，D手捧芙蓉到玉京山，去朝拜天尊神。D我早与汗漫仙人，相约在九天之顶，D心想接你这个卢敖，一起同游太清。DDD【评析】：D       这首诗是咏叹庐山风景的奇绝，游览飘然，猛发学道成仙之欲望，并进而邀请同伴。诗分四段。首六句为第一段，是序曲。以楚狂自比，对政治淡漠，透露寻仙访道隐逸之心。“庐山”八句，为第二段，以仰视角度写庐山“瀑布相望”、“银河倒挂”、“翠影映月”、“鸟飞不到”雄奇风光。“登高”八句为第三段，以俯视角度，写长江“茫茫东去”、“黄云万里”、“九派流雪”的雄伟气势，并以谢灵运故事，抒发浮生若萝，盛事难再，寄隐求仙访道，超脱现实的心情。“早服”六句为第四段，想象自己能早服仙丹，修炼升仙，到达向往的自由仙界。并以卢敖故事，邀卢侍卿同游。全诗想象丰富，境界开阔，给人以雄奇的美感享受。“五岳寻仙不辞远”，可借以作事业追求者的警句。
D唐诗-七言古诗,李白,《梦游天姥吟留别》,海客谈瀛洲，烟涛微茫信难求。D越人语天姥，云霓明灭或可睹。D天姥连天向天横，势拔五岳掩赤城。D天台四万八千丈，对此欲倒东南倾。D我欲因之梦吴越，一夜飞度镜湖月。D湖月照我影，送我至剡溪。D谢公宿处今尚在，绿水荡漾清猿啼，D脚著谢公屐，身登青云梯。D半壁见海日，空中闻天鸡。D千岩万转路不定，迷花倚石忽已暝。D熊咆龙吟殷岩泉，栗深林兮惊层巅。D云青青兮欲雨，水澹澹兮生烟。D列缺霹雳，丘峦崩摧。D洞天石扇，訇然中开。D青冥浩荡不见底，日月照耀金银台。D霓为衣兮风为马，云之君兮纷纷而来下。D虎鼓瑟兮鸾回车，仙之人兮列如麻。D忽魂悸以魄动，恍惊起而长嗟。D惟觉时之枕席，失向来之烟霞。D世间行乐亦如此，古来万事东流水。D别君去兮何时还？D且放白鹿青崖间，须行即骑访名山。D安能摧眉折腰事权贵，使我不得开心颜！DD,【注解】：D１、瀛洲：神山名。D２、信：果真。D３、拔：超越。D４、赤城：山名。D５、列缺：闪电。D６、摧眉：低眉。DDD【韵译】：D海上来客，谈起东海仙山瀛洲，D说它在烟涛浩渺中，实难寻求。D越中来人，说起那里的天姥山，D尽管云霞或明或暗，间或可见。D天姥山高耸入云，象横卧天际，D高超五岳遮盖赤城，其势无比。D天台山，传说高达四万八千丈，D面对天姥山，象拜倒东南偶下。D我想游天姥，因而梦游了吴越。D一夜飞越，梦里见到镜湖明月。D明月清辉，把我身影映在湖里，D不久又把我的身影，送到剡溪。D当年谢灵运的住处，至今犹在，D清波荡漾猿猴长啼，景致凄凄。D我脚穿着，谢灵运的登山木屐，D攀登峻峭峰峦，如上青天云梯。D在云间的山腰，可见东海日出，D身体悬在半空，可听天鸡鸣啼。D山中尽是岩，道路千回万转，D迷恋倚石赏花，忽觉天色已晚。D熊吼声龙吟声，在岩泉间震响，D深林为之惊栗，峰峦火之抖颤。D乌云沉沉低垂，似乎快要落雨，D水波淡淡荡漾，湖面腾起云烟。D闪电划破长空，一声惊雷巨响，D山丘峰峦，仿佛突然崩裂倒塌。D神仙石府的石门，D在隆隆声中打开。D洞里天空青暝暝，望不到边际，D日月交相辉映，照耀着金银台。D云神们以彩虹为衣，以风作马，D他们踩踏祥云，纷纷飘然而下。D老虎奏起琴瑟，鸾鸟拉着车驾，D仙人翩翩起舞，列队纵横如麻。D忽然令人胆颤，不由魂飞魄散，D恍恍惚惚惊醒，不免惋惜长叹。D醒来时看见的，身边唯有枕席，D方才美丽烟霞，已经无影无迹。D世间行乐之事，实在如同梦幻，D万事从古都象，东去流水一般。D我与诸君作别，不知何时回还？D暂且放养白鹿，在那青崖之间，D要走随即骑去，访问名川大山。D我岂能低头弯腰，去事奉权贵，D使我心中郁郁寡欢，极不舒坦！DDD【评析】：D       这是一首记梦诗，也是游仙诗。诗写梦游名山，着意奇特，构思精密，意境雄伟。感慨深沉激烈，变化惝恍莫测于虚无飘渺的描述中，寄寓着生活现实。虽离奇，但不做作。内容丰富曲折，形象辉煌流丽，富有浪漫主义色彩。形式上杂言相间，兼用骚体，不受律束，体制解放。信手写来，笔随兴至，诗才横溢，堪称绝世名作。
D唐诗-七言古诗,李白,《金陵酒肆留别》,风吹柳花满店香，吴姬压酒唤客尝。D金陵子弟来相送，欲行不行各尽觞。D请君试问东流水，别意与之谁短长。DDD,【注解】：D１、金陵：南京。D２、酒肆：酒店。D３、吴姬：吴地的青年女子，这里指卖酒女。D４、压酒：酒酿成时，压酒糟取酒。D５、尽觞：干杯。DDD【韵译】：D春风吹柳花扬，酒店美酒飘香，D吴国美女酒，殷勤劝客品尝。D金陵年青朋友，都来为我送行，D要走的要留的，各人把酒喝干。D敬请诸位朋友，问问东去流水，D它比离情别绪，到底谁短谁长？DDD【评析】：D       这首小诗描绘了在春光春色中江南水乡的一家酒肆，诗人满怀别绪酌饮，“当垆姑娘劝酒，金陵少年相送”的一幅令人陶醉的画图。风吹柳花，离情似水。走的痛饮，留的尽杯。情绵绵，意切切，句短情长，吟来多味。沈德潜《唐诗别裁集》说此诗“语不必深，写情已足”。全诗可见诗人的情怀多么丰采华茂，风流潇洒。
D唐诗-七言古诗,李白,《宣州谢朓楼饯别校书叔云》,弃我去者，昨日之日不可留。D乱我心者，今日之日多烦忧。D长风万里送秋雁，对此可以酣高楼。D蓬莱文章建安骨，中间小谢又清发。D俱怀逸兴壮思飞，欲上青天览日月。D抽刀断水水更流，举杯消愁愁更愁。D人生在世不称意，明朝散发弄扁舟。DD,【注解】：D１、秋雁：喻李云。D２、蓬莱文章：这里指李云供职的秘书省。DDD【韵译】：D弃我逝去的昨日已不可挽留，D乱我心绪的今日多叫人烦忧。D长风万里吹送秋雁南来时候，D对此情景正可开怀酣饮高楼。D你校书蓬莱宫，文有建安风骨，D我好比谢，诗歌亦清发隽秀。D我俩都怀逸兴豪情，壮志凌云，D想攀登九天，把明月摘揽在手。D抽刀吹断江水，江水更猛奔流，D想要举杯消愁，却是愁上加愁。D人生在世，不能活得称心如意，D不如明朝散发，驾舟江湖漂流。DDD【评析】：D       诗旨在以蓬莱文章比李云，以谢清发自喻。借送别以赞对方，惜其生不称世。开首二句，不写叙别，不写楼，却直抒郁结，道出心中烦忧。三、四句突作转折，从苦闷中转到爽郎壮阔的境界，展开了一幅秋空送雁图。一“送”，一“酣”，点出了“饯别”的主题。“蓬莱”四句，赞美对方文章如蓬莱宫幽藏，刚健遒劲，有建安风骨。又流露自己才能，以谢自比，表达了对高洁理想的追求。同时也表现了诗人的文艺观。末四句抒写感慨，理想与现实不可调和，不免烦忧苦闷，只好在“弄扁舟”中去寻求寄托。思想感情瞬息万变，艺术结构腾挪跌宕，起落无端，断续无迹，深刻地表现了诗人矛盾的心情。语言豪放自然，音律和谐统一。“抽刀断水水更流，举杯销愁愁更愁”句，是千百年来描摹愁绪的名言，众口交赞。
